06083,Santa Barbara County,CA,424338,426058,430827,435980,440628,443927,446296,448150
06085,Santa Clara County,CA,1786542,1813812,1841868,1870935,1896246,1919220,1931575,1938153
06087,Santa Cruz County,CA,263216,265103,266794,269395,271529,274299,275196,275897
06089,Shasta County,CA,177284,177595,177917,178445,178983,178472,178774,179921
06091,Sierra County,CA,3221,3100,3068,3030,2979,2994,2964,2999
06093,Siskiyou County,CA,44939,44614,44082,43543,43390,43351,43511,43853
06095,Solano County,CA,414076,416652,420267,424384,429993,434751,440318,445458
06097,Sonoma County,CA,484827,487822,490740,495007,499563,502096,503833,504217
06099,Stanislaus County,CA,515242,518034,521349,524625,529544,535000,541353,547899
06101,Sutter County,CA,94764,94560,94342,94702,94983,95524,96058,96648
06103,Tehama County,CA,63563,63347,63241,62916,62820,63128,63444,63926
06105,Trinity County,CA,13749,13677,13482,13422,13122,13092,12839,12709
06107,Tulare County,CA,443060,447358,450779,453663,456452,458601,460835,464493
06109,Tuolumne County,CA,55188,54832,54237,54018,53852,53589,53787,54248
06111,Ventura County,CA,825298,830990,835143,840175,844749,848925,851096,854223
06113,Yolo County,CA,201101,202082,204890,206650,208873,212428,215959,219116
06115,Yuba County,CA,72351,72511,72832,73159,73642,74201,75185,77031
08001,Adams County,CO,443672,451443,459861,469377,479488,489822,497395,503167
08003,Alamosa County,CO,15937,16117,16092,16200,16213,16305,16456,16551
08005,Arapahoe County,CO,574650,584955,595094,606839,617385,628834,636949,643052
08007,Archuleta County,CO,12045,12014,12124,12205,12222,12382,12836,13315
08009,Baca County,CO,3808,3778,3722,3655,3586,3552,3548,3562
08011,Bent County,CO,6501,6328,5816,5733,5784,5893,5681,5938
08013,Boulder County,CO,295930,300518,305028,309749,312505,317968,321173,322514
08014,Broomfield County,CO,56214,57445,58899,60065,61706,64796,66509,68341
08015,Chaffee County,CO,17805,18019,18142,18347,18439,18582,19082,19638
08017,Cheyenne County,CO,1832,1853,1862,1869,1834,1811,1834,1845
08019,Clear Creek County,CO,9083,9002,9005,9008,9110,9233,9361,9574
08021,Conejos County,CO,8312,8279,8239,8192,8224,8061,8072,8184
08023,Costilla County,CO,3529,3636,3597,3535,3554,3569,3705,3776
08025,Crowley County,CO,5860,5859,5435,5321,5586,5597,5254,5810
08027,Custer County,CO,4283,4228,4222,4265,4345,4439,4601,4874
08029,Delta County,CO,30859,30372,30449,30321,29947,29902,30346,30568
08031,Denver County,CO,603218,619356,633798,648049,663271,681618,694777,704621
08033,Dolores County,CO,2069,2044,2009,2033,1977,1980,2062,2067
08035,Douglas County,CO,286947,292370,298446,305944,314250,321484,327722,335299
08037,Eagle County,CO,52102,51892,52189,52685,53143,53664,54364,54772
08039,Elbert County,CO,23140,23168,23262,23529,23998,24553,25041,25642
08041,El Paso County,CO,626834,636596,644832,653945,661792,672453,686706,699232
